,c.avgHandBatter.,c.avgPlaceBatter.,c.avgHandPitcher.,c.avgPlacePitcher.,c.sampleHandBatter.,c.samplePlaceBatter.,c.sampleHandPitcher.,c.samplePlacePitcher.,c.avgHandBatter..1,c.avgPlaceBatter..1,c.avgHandPitcher..1,c.avgPlacePitcher..1,c.sampleHandBatter..1,c.samplePlaceBatter..1,c.sampleHandPitcher..1,c.samplePlacePitcher..1,c.avgHandBatter..2,c.avgPlaceBatter..2,c.avgHandPitcher..2,c.avgPlacePitcher..2,c.sampleHandBatter..2,c.samplePlaceBatter..2,c.sampleHandPitcher..2,c.samplePlacePitcher..2,hit,atBats,pitcherInMonth.pitcherInMonth.c.pitcherInMonth.,pitcherInMonth.batterInMonth.c.batterInMonth.,parkFactor,dateColumn
72,0.2255878836,0.2260387812,0.2269503546,0.2408759124,2509,1805,141,137,0.2440191388,0.2173913043,0.2269503546,0.2408759124,209,161,141,137,0.3,0.3015873016,0.2269503546,0.2408759124,90,63,141,137,FALSE,3,0.2680412371,0.2241112828,0.868,2016-08-09
73,0.246936852,0.2345360825,0.2857142857,0.2408759124,1061,776,140,137,0.2857142857,0.2307692308,0.2857142857,0.2408759124,217,182,140,137,0.2023460411,0.2099236641,0.2857142857,0.2408759124,341,262,140,137,TRUE,2,0.2680412371,0.2628205128,0.868,2016-08-09
74,0.2383524646,0.2376754816,0.2857142857,0.2408759124,4443,3063,140,137,0.2076677316,0.2039800995,0.2857142857,0.2408759124,313,201,140,137,0.262295082,0.2697841727,0.2857142857,0.2408759124,427,278,140,137,FALSE,3,0.2680412371,0.243852459,0.868,2016-08-09
75,0.2693208431,0.2312746386,0.248958953,0.2453416149,427,761,3362,2254,0.3048780488,0.2533783784,0.2472952087,0.2527472527,164,296,647,455,0.2555555556,0.188976378,0.2403560831,0.2194570136,90,127,674,442,TRUE,4,0.2615384615,0.2639593909,0.868,2016-08-09
76,0.256302521,0.2467948718,0.248958953,0.2453416149,238,312,3362,2254,0.2178217822,0.1764705882,0.2472952087,0.2527472527,101,85,647,455,0.4545454545,0.3673469388,0.2403560831,0.2194570136,22,49,674,442,TRUE,2,0.2615384615,0.1982758621,0.868,2016-08-09
77,0.2923076923,0.2724196277,0.248958953,0.2453416149,845,1182,3362,2254,0.2617449664,0.2824858757,0.2472952087,0.2527472527,149,177,647,455,0.2903225806,0.276119403,0.2403560831,0.2194570136,124,134,674,442,TRUE,3,0.2615384615,0.2704280156,0.868,2016-08-09
78,0.2212389381,0.2298980747,0.248958953,0.2453416149,452,883,3362,2254,0.186440678,0.2614107884,0.2472952087,0.2527472527,118,241,647,455,0.2352941176,0.2111111111,0.2403560831,0.2194570136,136,270,674,442,FALSE,2,0.2615384615,0.2328042328,0.868,2016-08-09
79,0.2610868207,0.2714884696,0.248958953,0.2453416149,1601,2862,3362,2254,0.1656804734,0.2401315789,0.2472952087,0.2527472527,169,304,647,455,0.2838709677,0.2542955326,0.2403560831,0.2194570136,155,291,674,442,FALSE,4,0.2615384615,0.2717086835,0.868,2016-08-09
80,0.1978798587,0.2195448461,0.2272727273,0.2453416149,283,747,880,2254,0.2113821138,0.2319391635,0.222826087,0.2527472527,123,263,184,455,0.1904761905,0.2482758621,0.234375,0.2194570136,42,145,192,442,TRUE,2,0.2615384615,0.2256097561,0.868,2016-08-09
81,0.1847826087,0.1932773109,0.248958953,0.2453416149,92,119,3362,2254,0.1847826087,0.1932773109,0.2472952087,0.2527472527,92,119,647,455,0.1847826087,0.1932773109,0.2403560831,0.2194570136,92,119,674,442,FALSE,4,0.2615384615,0.1555555556,0.868,2016-08-09
82,0.3043478261,0.2695035461,0.248958953,0.2453416149,69,141,3362,2254,0.3043478261,0.2695035461,0.2472952087,0.2527472527,69,141,647,455,0.3043478261,0.2695035461,0.2403560831,0.2194570136,69,141,674,442,TRUE,3,0.2615384615,0.2884615385,0.868,2016-08-09
83,0.0555555556,0.1363636364,0.248958953,0.2453416149,36,44,3362,2254,0.2222222222,0.2142857143,0.2472952087,0.2527472527,9,14,647,455,0.2222222222,0.2142857143,0.2403560831,0.2194570136,9,14,674,442,FALSE,2,0.2615384615,0.0769230769,0.868,2016-08-09
84,0.2724157624,0.2294510601,0.2327586207,0.2396768402,1751,3443,1624,1114,0.2836879433,0.271641791,NA,NA,141,335,NA,NA,0.2666666667,0.2715053763,0.2261904762,0.2592592593,180,372,84,54,TRUE,5,0.2540250447,0.2504378284,0.868,2016-08-09
85,0.2604651163,0.25,0.2327586207,0.2396768402,430,756,1624,1114,0.3097345133,0.2770562771,NA,NA,113,231,NA,NA,NA,NA,0.2261904762,0.2592592593,NA,NA,84,54,TRUE,7,0.2540250447,0.2107279693,0.868,2016-08-09
